Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0100000US,,United States,24858794,21936806,1191984,702309,249346,85203,693146
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0100000US,,United States,132105418,100301335,19853611,1147502,7691693,246518,2864759
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0100000US,,United States,156964212,122238141,21045595,1849811,7941039,331721,3557905
cen42010,"April 1, 2010 Census",male,Male,hisp,Hispanic,0100000US,,United States,25618800,22681299,1136129,773939,248654,92206,686573
cen42010,"April 1, 2010 Census",male,Male,nhisp,Not Hispanic,0100000US,,United States,126162526,97017621,18068911,1115756,6969823,250698,2739717
cen42010,"April 1, 2010 Census",male,Male,tothisp,Total,0100000US,,United States,151781326,119698920,19205040,1889695,7218477,342904,3426290
cen42010,"April 1, 2010 Census",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50477594,44618105,2328113,1476248,498000,177409,1379719
cen42010,"April 1, 2010 Census",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258267944,197318956,37922522,2263258,14661516,497216,5604476
cen42010,"April 1, 2010 Census",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308745538,241937061,40250635,3739506,15159516,674625,6984195
est42010,"April 1, 2010 Estimates Base",female,Female,hisp,Hispanic,0100000US,,United States,24858820,21936831,1191985,702309,249346,85203,693146
est42010,"April 1, 2010 Estimates Base",female,Female,nhisp,Not Hispanic,0100000US,,United States,132105573,100301411,19853670,1147503,7691701,246518,2864770
est42010,"April 1, 2010 Estimates Base",female,Female,tothisp,Total,0100000US,,United States,156964393,122238242,21045655,1849812,7941047,331721,3557916
est42010,"April 1, 2010 Estimates Base",male,Male,hisp,Hispanic,0100000US,,United States,25618970,22681456,1136138,773939,248656,92206,686575
est42010,"April 1, 2010 Estimates Base",male,Male,nhisp,Not Hispanic,0100000US,,United States,126164353,97018573,18069749,1115770,6969832,250698,2739731
est42010,"April 1, 2010 Estimates Base",male,Male,tothisp,Total,0100000US,,United States,151783323,119700029,19205887,1889709,7218488,342904,3426306
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50477790,44618287,2328123,1476248,498002,177409,1379721
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258269926,197319984,37923419,2263273,14661533,497216,5604501
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0100000US,,United States,308747716,241938271,40251542,3739521,15159535,674625,6984222
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0100000US,,United States,24989239,22048038,1199352,706018,250809,85667,699355
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0100000US,,United States,132249209,100324629,19894867,1150236,7745255,247759,2886463
est72010,"July 1, 2010",female,Female,tothisp,Total,0100000US,,United States,157238448,122372667,21094219,1856254,7996064,333426,3585818
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0100000US,,United States,25758142,22800124,1143859,778118,250158,92696,693187
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0100000US,,United States,126329705,97066024,18112763,1118256,7018635,251936,2762091
est72010,"July 1, 2010",male,Male,tothisp,Total,0100000US,,United States,152087847,119866148,19256622,1896374,7268793,344632,3455278
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0100000US,,United States,50747381,44848162,2343211,1484136,500967,178363,1392542
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0100000US,,United States,258578914,197390653,38007630,2268492,14763890,499695,5648554
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0100000US,,United States,309326295,242238815,40350841,3752628,15264857,678058,7041096
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0100000US,,United States,25536515,22513207,1232131,721241,256871,87727,725338
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0100000US,,United States,132784295,100355341,20069670,1160660,7971782,252780,2974062
est72011,"July 1, 2011",female,Female,tothisp,Total,0100000US,,United States,158320810,122868548,21301801,1881901,8228653,340507,3699400
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0100000US,,United States,26331064,23289262,1177132,793781,256305,94760,719824
